6979	360	7209	3193	49224	14758	26767	4655	4106	33193	25775	613	1952	50358	17182	6843	3839	4537	27660	1056	20849	64816	42379	4644	6569	7862	451	3851	4934	2058	116365	3213	303932	10711	1067	17303	3473	2446	46372	8247	5882	2373	10805	22125	4497	862	14962	14070	1110	6520	545	1046815
7187	360	7655	3281	50713	15284	27700	4734	4323	33690	26264	618	1984	52918	17835	7145	4413	4708	28001	1095	21742	66867	43478	5136	6815	8091	453	4281	5053	2146	118652	3411	308309	11120	1107	18027	3618	2510	47953	8621	6095	2449	11807	23292	4672	866	15847	14327	1125	6854	559	1076517
7440	369	7969	3337	52547	15793	28764	4918	4658	34728	27489	619	2015	56055	18630	7884	4634	4882	28711	1123	23472	68953	44524	5730	7212	8407	453	5008	5248	2310	121203	3513	312799	11585	1153	18743	3748	2579	49646	8962	6258	2525	12576	24624	4828	879	16902	14637	1152	7314	566	1111409
7700	370	8364	3372	53885	16225	29287	5038	4797	35463	28331	620	2061	58505	19295	8643	4885	4879	29140	1153	24473	69984	45424	6232	7441	8620	455	5317	5389	2429	123735	3732	317174	11929	1191	19335	3851	2635	50995	9289	6489	2588	12813	25260	4985	886	17738	15003	1185	7660	579	1138173
7977	373	8640	3437	55252	16635	29287	5208	5016	36078	28665	620	2061	61499	19933	9175	5156	5130	29340	1185	25462	70723	46047	6663	7550	8790	455	5661	5472	2518	126763	3850	320685	12167	1225	19914	3972	2680	52044	9477	6626	2631	13183	25648	5175	897	18672	15185	1195	7964	586	1161906
8203	375	8924	3491	56612	16918	29973	5288	5170	36897	29451	621	2106	63777	20507	9703	5383	5245	29673	1205	26408	72605	46348	7234	7877	9070	457	6037	5630	2588	128296	4031	323828	12483	1265	20474	4044	2759	52999	9652	6757	2668	13493	26581	5317	902	19493	15462	1224	8236	596	1185708
8520	376	9305	3525	59200	17367	30621	5371	5322	37439	29998	625	2127	65889	21033	10111	5648	5822	29996	1226	27117	74343	46914	7851	8207	9278	456	6373	5660	2636	130628	4138	325934	12928	1321	20969	4127	2839	53878	9933	6841	2721	13682	27433	5449	907	20257	15594	1246	8566	604	1209727
8769	378	9707	3611	61079	17832	30995	5778	5461	38002	30743	626	2158	68232	21870	10404	5993	5934	30399	1254	28163	76048	47738	8579	8424	9533	456	6689	5741	2741	131928	4291	328057	13541	1370	21576	4202	2916	54846	10205	6936	2780	13941	28736	5595	908	20985	15905	1242	8901	631	1234209
9115	380	9945	3703	63004	18370	31784	5939	5654	38828	31618	629	2178	70871	22503	11059	6332	6129	30652	1330	29374	77733	48412	9365	8686	9724	456	7334	5855	2843	134037	4493	331268	14051	1423	22131	4330	2989	55948	10530	7142	2906	14333	29596	5724	916	21570	16231	1287	9215	635	1261948
9437	383	10526	3747	65128	18827	32411	6111	5899	39199	32181	629	2178	73760	23146	11457	6667	6288	30855	1374	30485	79190	49170	10088	9090	9860	458	7818	5920	2947	135899	4673	334167	14516	1463	23016	4424	3068	57369	10779	7367	3145	14528	30955	5919	919	22342	16388	1323	9590	644	1289131
